,mx1,mx2,mx3,mx4,mx5,mx6,mx7,cp1,cp2,ce19,ce37,cu1,cu2,cu3,cu4,cu5,cu7,cu16,cu17,cu18,cu19,cu20,cu21,cu23,cu25,cu29,cu34,cu37,cu38,cu41,cu52,cu53,cu54,cu55,cu56,cu57,cu61,cu64,cu65,cu67,cu68,cu72,cu74,cu75,cu76,cu77,cu78,cu80,cu81,cu82,cu83,cu84,cu85
29945,8.0,0.0,7.0,4.0,0.0,0.0,1.0,21.0,1.0,15.0,10000.0,25.0,19.0,6.0,211270.0,28277.0,976.0,2.0,0.0,0.0,2.0,2.0,17.0,0.0,18.0,18.0,3.0,1.0,4.0,144.0,0.0,0.0,0.0,1.0,21.0,43.0,133.0,308.0,133.0,2.0,8600.0,3.0,5000.0,9.0,5.0,9.0,11.0,27.0,72.0,27.0,144.0,15485.0,1322.0
21125,16.0,2.0,11.0,11.0,0.0,4.0,4.0,42.0,2.0,3.0,1071.0,85.0,70.0,15.0,128377.0,42508.0,535.0,67.0,0.0,2.0,2.0,3.0,3.0,0.0,68.0,65.0,10.0,4.0,8.0,42.0,0.0,4.0,4.0,4.0,4.0,12.0,40.0,12.0,42.0,2.0,5600.0,12.0,64835.0,18.0,18.0,0.0,103.0,17.0,2.0,17.0,42.0,31653.0,2507.0
19519,20.0,4.0,15.0,15.0,8.0,11.0,13.0,30.0,1.0,43.0,3000.0,36.0,24.0,12.0,109932.0,103289.0,120.0,11.0,2.0,4.0,7.0,13.0,13.0,0.0,14.0,19.0,8.0,0.0,6.0,18.0,3.0,7.0,12.0,19.0,21.0,17.0,17.0,-1.0,17.0,3.0,5400.0,6.0,0.0,15.0,15.0,9.0,25.0,13.0,6.0,13.0,18.0,87955.0,3754.0
9479,11.0,0.0,8.0,6.0,5.0,5.0,8.0,23.0,2.0,9.0,1490.0,13.0,5.0,8.0,29368.0,7446.0,300.0,1.0,1.0,2.0,3.0,4.0,4.0,0.0,5.0,5.0,6.0,1.0,4.0,8.0,2.0,4.0,5.0,8.0,9.0,7.0,7.0,44.0,10.0,3.0,2070.0,2.0,16600.0,23.0,15.0,23.0,24.0,6.0,4.0,6.0,8.0,8529.0,4340.0
11531,15.0,0.0,12.0,5.0,0.0,0.0,0.0,32.0,2.0,13.0,10000.0,297.0,278.0,19.0,137348.0,137343.0,100.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,240.0,10.0,1.0,12.0,194.0,0.0,0.0,0.0,0.0,3.0,144.0,144.0,401.0,144.0,5.0,8322.0,19.0,17353.0,50.0,50.0,30.0,304.0,84.0,84.0,84.0,194.0,82708.0,0.0
29061,4.0,0.0,1.0,2.0,0.0,0.0,1.0,37.0,2.0,10.0,1606.0,8.0,5.0,3.0,33888.0,3780.0,457.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,1.0,128.0,0.0,0.0,0.0,3.0,3.0,6.0,27.0,-1.0,43.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,8.0,6.0,6.0,6.0,97.0,3118.0,23176.0
18729,18.0,0.0,17.0,16.0,2.0,7.0,10.0,28.0,1.0,14.0,15000.0,32.0,20.0,12.0,41451.0,0.0,131.0,9.0,2.0,3.0,6.0,6.0,11.0,0.0,15.0,16.0,10.0,1.0,4.0,8.0,4.0,5.0,8.0,15.0,19.0,8.0,8.0,28.0,8.0,5.0,9401.0,0.0,7800.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,8.0,0.0,18484.0
9979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,8.0,1000.0,10.0,6.0,4.0,18945.0,18943.0,400.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,2.0,0.0,3.0,1192.0,0.0,0.0,0.0,0.0,0.0,213.0,213.0,-1.0,1017.0,0.0,0.0,4.0,0.0,92.0,92.0,8.0,199.0,84.0,84.0,84.0,1010.0,6078.0,0.0
5269,26.0,4.0,21.0,9.0,7.0,7.0,9.0,42.0,2.0,6.0,2000.0,84.0,62.0,22.0,359135.0,31995.0,50.0,48.0,1.0,4.0,6.0,6.0,14.0,0.0,44.0,37.0,12.0,1.0,14.0,22.0,1.0,6.0,8.0,14.0,18.0,8.0,8.0,646.0,9.0,3.0,971.0,14.0,3000.0,49.0,23.0,49.0,107.0,53.0,8.0,53.0,22.0,20002.0,26585.0
35817,8.0,0.0,4.0,3.0,1.0,2.0,2.0,54.0,2.0,11.0,4000.0,32.0,24.0,8.0,701821.0,550.0,657.0,21.0,1.0,1.0,1.0,1.0,3.0,0.0,20.0,5.0,5.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,9.0,9.0,56.0,21.0,3.0,9355.0,2.0,6000.0,19.0,19.0,19.0,37.0,4.0,4.0,3.0,4.0,257.0,14125.0
16419,12.0,0.0,9.0,9.0,0.0,1.0,2.0,31.0,2.0,15.0,4000.0,40.0,31.0,9.0,50307.0,23849.0,200.0,21.0,0.0,1.0,3.0,7.0,10.0,0.0,28.0,9.0,6.0,2.0,3.0,47.0,0.0,2.0,3.0,7.0,14.0,5.0,5.0,50.0,33.0,0.0,0.0,3.0,8000.0,65.0,65.0,65.0,102.0,28.0,24.0,27.0,47.0,8969.0,4438.0
29791,6.0,3.0,6.0,4.0,3.0,3.0,6.0,19.0,1.0,8.0,1800.0,7.0,4.0,3.0,1557.0,0.0,197.0,0.0,1.0,2.0,3.0,4.0,4.0,0.0,4.0,4.0,2.0,0.0,2.0,20.0,1.0,2.0,3.0,7.0,7.0,20.0,20.0,-1.0,20.0,2.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1557.0
9036,10.0,1.0,10.0,6.0,2.0,4.0,6.0,57.0,1.0,13.0,4000.0,18.0,11.0,7.0,13416.0,6310.0,600.0,8.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,5.0,1.0,3.0,20.0,2.0,4.0,6.0,8.0,8.0,20.0,20.0,-1.0,20.0,4.0,6122.0,2.0,30000.0,2.0,2.0,0.0,4.0,2.0,0.0,2.0,20.0,5061.0,7106.0
24618,7.0,0.0,5.0,4.0,0.0,0.0,0.0,61.0,2.0,5.0,1000.0,44.0,37.0,7.0,205028.0,214739.0,500.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,30.0,5.0,2.0,5.0,785.0,0.0,0.0,0.0,0.0,0.0,338.0,338.0,397.0,338.0,3.0,14060.0,6.0,3300.0,55.0,55.0,24.0,173.0,84.0,84.0,84.0,769.0,188256.0,0.0
34100,3.0,1.0,3.0,2.0,2.0,2.0,2.0,48.0,2.0,14.0,2000.0,7.0,5.0,2.0,4729.0,3229.0,400.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,2.0,13.0,2.0,2.0,2.0,2.0,2.0,13.0,13.0,85.0,13.0,1.0,1500.0,1.0,4000.0,11.0,11.0,0.0,11.0,13.0,10.0,13.0,13.0,3229.0,1500.0
10190,15.0,0.0,14.0,14.0,9.0,9.0,13.0,35.0,1.0,11.0,1606.0,22.0,13.0,9.0,424286.0,287189.0,300.0,1.0,1.0,3.0,5.0,7.0,12.0,0.0,11.0,11.0,9.0,0.0,6.0,10.0,5.0,7.0,9.0,14.0,19.0,18.0,18.0,1330.0,18.0,4.0,1275.0,1.0,0.0,24.0,24.0,11.0,24.0,13.0,13.0,13.0,10.0,293305.0,2856.0
17350,6.0,0.0,3.0,0.0,0.0,0.0,0.0,42.0,1.0,9.0,0.0,29.0,23.0,6.0,583140.0,0.0,1500.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,7759.0,0.0,0.0,0.0,2.0,2.0,21.0,1743.0,28.0,-1.0,1.0,1500.0,0.0,102000.0,1.0,1.0,1.0,1.0,9.0,9.0,0.0,132.0,0.0,1286.0
15761,8.0,2.0,5.0,5.0,2.0,2.0,3.0,41.0,1.0,43.0,8000.0,17.0,11.0,6.0,733747.0,48154.0,300.0,5.0,1.0,3.0,3.0,5.0,6.0,0.0,10.0,8.0,3.0,0.0,3.0,19.0,1.0,3.0,3.0,8.0,9.0,20.0,20.0,2467.0,20.0,3.0,2300.0,5.0,0.0,24.0,24.0,12.0,56.0,35.0,12.0,32.0,19.0,8712.0,1154.0
17001,9.0,0.0,5.0,4.0,0.0,0.0,1.0,45.0,1.0,3.0,1000.0,34.0,24.0,10.0,564440.0,240722.0,236.0,21.0,0.0,0.0,0.0,2.0,3.0,0.0,24.0,20.0,5.0,1.0,4.0,99.0,0.0,0.0,0.0,2.0,7.0,16.0,20.0,581.0,51.0,1.0,2071.0,8.0,2500.0,25.0,25.0,0.0,41.0,32.0,17.0,32.0,99.0,212802.0,4042.0
24341,15.0,1.0,10.0,5.0,3.0,3.0,4.0,58.0,2.0,14.0,2000.0,39.0,25.0,14.0,188231.0,205510.0,450.0,23.0,1.0,1.0,2.0,2.0,2.0,0.0,18.0,7.0,6.0,2.0,4.0,16.0,1.0,3.0,3.0,4.0,4.0,16.0,16.0,39.0,16.0,2.0,1800.0,8.0,6450.0,24.0,24.0,23.0,102.0,35.0,84.0,32.0,16.0,29580.0,2451.0
